Sensor,Hora
44913,14:31:26
44916,14:31:27
44907,14:31:28
44905,14:31:29
44896,14:31:30
44899,14:31:32
44894,14:31:33
44891,14:31:34
44891,14:31:35
44894,14:31:36
44894,14:31:37
44883,14:31:38
44874,14:31:39
44869,14:31:40
44858,14:31:41
44869,14:31:42
44860,14:31:43
44858,14:31:44
44849,14:31:45
44838,14:31:46
44830,14:31:47
44827,14:31:48
44830,14:31:49
44819,14:31:50
44810,14:31:51
44805,14:31:52
44797,14:31:53
44786,14:31:54
44794,14:31:55
44785,14:31:56
44777,14:31:57
44772,14:31:58
44758,14:31:59
44761,14:32:00
44758,14:32:01
44747,14:32:02
44738,14:32:03
44744,14:32:04
44733,14:32:05
44727,14:32:06
44716,14:32:07
44708,14:32:08
44708,14:32:09
44697,14:32:10
44697,14:32:11
44689,14:32:12
44683,14:32:13
44688,14:32:14
44672,14:32:16
44672,14:32:17
44661,14:32:18
44650,14:32:19
44642,14:32:20
44644,14:32:21
44642,14:32:22
44636,14:32:23
44628,14:32:24
44617,14:32:25
44617,14:32:26
44608,14:32:27
44606,14:32:28
44589,14:32:29
44589,14:32:30
44578,14:32:31
44575,14:32:32
44561,14:32:33
44553,14:32:34
44547,14:32:35
44536,14:32:36
44525,14:32:37
44517,14:32:38
44509,14:32:39
44498,14:32:40
44484,14:32:41
44473,14:32:42
44462,14:32:43
44453,14:32:44
44445,14:32:45
44434,14:32:46
44420,14:32:47
44401,14:32:48
44395,14:32:49
44376,14:32:50
44368,14:32:51
44351,14:32:52
44343,14:32:53
44327,14:32:54
44318,14:32:55
44299,14:32:56
44291,14:32:57
44282,14:32:59
44263,14:33:00
44255,14:33:01
44227,14:33:02
44219,14:33:03
44203,14:33:04
44186,14:33:05
44170,14:33:06
44156,14:33:07
44145,14:33:08
44120,14:33:09
44106,14:33:10
44092,14:33:11
44084,14:33:12
44057,14:33:13
44037,14:33:14
44029,14:33:15
44013,14:33:16
44013,14:33:17
43983,14:33:18
43974,14:33:19
43958,14:33:20
43950,14:33:21
43936,14:33:22
43917,14:33:23
43908,14:33:24
43889,14:33:25
43878,14:33:26
43870,14:33:27
43867,14:33:28
43845,14:33:29
43843,14:33:30
43834,14:33:31
43818,14:33:32
43810,14:33:33
43799,14:33:34
43785,14:33:35
43768,14:33:36
43760,14:33:37
43749,14:33:38
43730,14:33:39
43719,14:33:40
43700,14:33:41
43694,14:33:43
43664,14:33:44
43659,14:33:45
43642,14:33:46
43626,14:33:47
43601,14:33:48
43585,14:33:49
43577,14:33:50
43552,14:33:51
43547,14:33:52
43533,14:33:53
43525,14:33:54
43497,14:33:55
43487,14:33:56
43487,14:33:57
43465,14:33:58
43456,14:33:59
43432,14:34:00
43424,14:34:01
43407,14:34:02
43399,14:34:03
43383,14:34:04
43375,14:34:05
43375,14:34:06
43355,14:34:07
43347,14:34:08
43331,14:34:09
43323,14:34:10
43312,14:34:11
43306,14:34:12
43282,14:34:13
43271,14:34:14
43263,14:34:15
43244,14:34:16
43233,14:34:17
43219,14:34:18
43216,14:34:19
43192,14:34:20
43173,14:34:21
43167,14:34:22
43146,14:34:23
43143,14:34:24
43127,14:34:26
43124,14:34:27
43105,14:34:28
43097,14:34:29
43080,14:34:30
43061,14:34:31
43061,14:34:32
43059,14:34:33
43050,14:34:34
43042,14:34:35
43042,14:34:36
43031,14:34:37
43031,14:34:38
43012,14:34:39
43007,14:34:40
42999,14:34:41
42993,14:34:42
42991,14:34:43
42974,14:34:44
42982,14:34:45
42963,14:34:46
42961,14:34:47
42953,14:34:48
42947,14:34:49
42947,14:34:50
42944,14:34:51
42939,14:34:52
42923,14:34:53
42920,14:34:54
42901,14:34:55
42898,14:34:56
42893,14:34:57
42893,14:34:58
42885,14:34:59
42874,14:35:00
42863,14:35:01
42855,14:35:02
42857,14:35:03
42847,14:35:04
42825,14:35:05
42825,14:35:06
42803,14:35:07
42795,14:35:08
42779,14:35:10
42781,14:35:11
42760,14:35:12
42746,14:35:13
42746,14:35:14
42730,14:35:15
42730,14:35:16
42727,14:35:17
42716,14:35:18
42719,14:35:19
42719,14:35:20
42714,14:35:21
42705,14:35:22
42697,14:35:23
42689,14:35:24
42684,14:35:25
42678,14:35:26
42676,14:35:27
42667,14:35:28
42659,14:35:29
42657,14:35:30
42643,14:35:31
42643,14:35:32
42635,14:35:33
42635,14:35:34
42640,14:35:35
42630,14:35:36
42632,14:35:37
42619,14:35:38
42608,14:35:39
42608,14:35:40
42602,14:35:41
42602,14:35:42
42600,14:35:43
42594,14:35:44
42586,14:35:45
42589,14:35:46
42583,14:35:47
42581,14:35:48
42565,14:35:49
42565,14:35:50
42551,14:35:51
42556,14:35:53
42537,14:35:54
42540,14:35:55
42529,14:35:56
42516,14:35:57
42508,14:35:58
42505,14:35:59
42499,14:36:00
42497,14:36:01
42483,14:36:02
42475,14:36:03
42467,14:36:04
42459,14:36:05
42453,14:36:06
42453,14:36:07
42443,14:36:08
42432,14:36:09
42426,14:36:10
42426,14:36:11
42424,14:36:12
42408,14:36:13
42413,14:36:14
42405,14:36:15
42405,14:36:16
42402,14:36:17
42394,14:36:18
42386,14:36:19
42386,14:36:20
42378,14:36:21
42373,14:36:22
42362,14:36:23
42356,14:36:24
42356,14:36:25
42354,14:36:26
42354,14:36:27
42348,14:36:28
42329,14:36:29
42332,14:36:30
42324,14:36:31
42329,14:36:32
42313,14:36:33
42313,14:36:34
42311,14:36:35
42305,14:36:37
42303,14:36:38
42289,14:36:39
42292,14:36:40
42281,14:36:41
42270,14:36:42
42270,14:36:43
42267,14:36:44
42254,14:36:45
42254,14:36:46
42249,14:36:47
42232,14:36:48
42227,14:36:49
42216,14:36:50
42222,14:36:51
42208,14:36:52
42208,14:36:53
42200,14:36:54
42195,14:36:55
42195,14:36:56
42189,14:36:57
42189,14:36:58
42181,14:36:59
42173,14:37:00
42168,14:37:01
42162,14:37:02
42165,14:37:03
42157,14:37:04
42157,14:37:05
42149,14:37:06
42138,14:37:07
42135,14:37:08
42133,14:37:09
42127,14:37:10
42119,14:37:11
42114,14:37:12
42111,14:37:13
42108,14:37:14
42098,14:37:15
42092,14:37:16
42087,14:37:17
42076,14:37:18
42063,14:37:19
42049,14:37:21
42055,14:37:22
42041,14:37:23
42036,14:37:24
42014,14:37:25
42020,14:37:26
42003,14:37:27
42009,14:37:28
41993,14:37:29
41982,14:37:30
41971,14:37:31
41963,14:37:32
41950,14:37:33
41939,14:37:34
41933,14:37:35
41923,14:37:36
41920,14:37:37
41904,14:37:38
41899,14:37:39
41890,14:37:40
41869,14:37:41
41864,14:37:42
41856,14:37:43
